unit,time,pc.1,pc.2
1,0,0,0
1,0.01,0.05,0.02
1,0.02,0.1,0.06
1,0.03,0.15,0.1
1,0.04,0.22,0.14
1,0.05,0.29,0.18
1,0.06,0.37,0.23
1,0.07,0.45,0.28
1,0.08,0.58,0.34
1,0.09,0.74,0.41
2,0,0,0
2,0.01,0.04,0.03
2,0.02,0.08,0.07
2,0.03,0.13,0.1
2,0.04,0.18,0.13
2,0.05,0.24,0.17
2,0.06,0.31,0.2
2,0.07,0.38,0.26
2,0.08,0.47,0.32
2,0.09,0.57,0.39
3,0,0,0
3,0.01,0.04,0.02
3,0.02,0.08,0.07
3,0.03,0.13,0.09
3,0.04,0.18,0.13
3,0.05,0.23,0.16
3,0.06,0.29,0.2
3,0.07,0.36,0.24
3,0.08,0.45,0.3
3,0.09,0.56,0.36
4,0,0,0
4,0.01,0.04,0.03
4,0.02,0.08,0.06
4,0.03,0.13,0.1
4,0.04,0.17,0.13
4,0.05,0.22,0.17
4,0.06,0.29,0.22
4,0.07,0.35,0.26
4,0.08,0.44,0.3
4,0.09,0.53,0.36
5,0,0,0
5,0.01,0.04,0.02
5,0.02,0.08,0.06
5,0.03,0.13,0.09
5,0.04,0.17,0.13
5,0.05,0.22,0.16
5,0.06,0.29,0.2
5,0.07,0.34,0.26
5,0.08,0.44,0.31
5,0.09,0.53,0.37
6,0,0,0
6,0.01,0.04,0.02
6,0.02,0.08,0.05
6,0.03,0.13,0.07
6,0.04,0.17,0.1
6,0.05,0.22,0.13
6,0.06,0.28,0.17
6,0.07,0.33,0.21
6,0.08,0.43,0.26
6,0.09,0.51,0.32
7,0,0,0
7,0.01,0.04,0.03
7,0.02,0.08,0.06
7,0.03,0.13,0.07
7,0.04,0.17,0.1
7,0.05,0.21,0.15
7,0.06,0.27,0.18
7,0.07,0.33,0.21
7,0.08,0.42,0.26
7,0.09,0.51,0.3
8,0,0,0
8,0.01,0.03,0.02
8,0.02,0.07,0.04
8,0.03,0.1,0.07
8,0.04,0.16,0.11
8,0.05,0.21,0.14
8,0.06,0.27,0.17
8,0.07,0.33,0.19
8,0.08,0.4,0.24
8,0.09,0.49,0.29
9,0,0,0
9,0.01,0.02,0.02
9,0.02,0.07,0.04
9,0.03,0.11,0.07
9,0.04,0.15,0.09
9,0.05,0.19,0.12
9,0.06,0.25,0.15
9,0.07,0.31,0.18
9,0.08,0.38,0.22
9,0.09,0.46,0.26
10,0,0,0
10,0.01,0.02,0.02
10,0.02,0.06,0.04
10,0.03,0.1,0.07
10,0.04,0.14,0.09
10,0.05,0.18,0.12
10,0.06,0.23,0.15
10,0.07,0.29,0.18
10,0.08,0.36,0.22
10,0.09,0.44,0.26
